Municipio;Depto;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
Guatemala;Guatemala;1,142,188;1,153,830;1,165,109;1,175,737;1,185,973;1,195,727;1,204,964;1,213,651;1,221,739;1,229,215;1,236,048;1,242,219;1,247,703;1,252,503;1,256,594;1,259,993;1,262,670;1,264,637;1,265,907;1,266,437;1,266,244
Santa Catarina Pinula;Guatemala;84,215;84,733;85,234;85,699;86,148;86,575;86,980;87,362;87,717;88,047;88,350;88,628;88,878;89,103;89,302;89,478;89,628;89,757;89,864;89,949;90,013
San José Pinula;Guatemala;84,770;85,524;86,265;86,974;87,668;88,345;89,001;89,636;90,247;90,835;91,399;91,938;92,451;92,940;93,403;93,843;94,261;94,655;95,029;95,381;95,711
San José del Golfo;Guatemala;8,078;8,139;8,197;8,253;8,307;8,358;8,409;8,456;8,502;8,545;8,585;8,623;8,659;8,692;8,723;8,752;8,777;8,801;8,823;8,843;8,862
Palencia;Guatemala;72,175;72,614;73,039;73,432;73,813;74,175;74,517;74,839;75,139;75,417;75,673;75,905;76,116;76,303;76,469;76,615;76,740;76,846;76,933;77,001;77,051
Chinautla;Guatemala;116,768;117,928;119,074;120,175;121,259;122,321;123,356;124,365;125,342;126,289;127,203;128,085;128,932;129,748;130,529;131,280;131,999;132,688;133,350;133,981;134,584
San Pedro Ayampuc;Guatemala;60,608;61,682;62,753;63,805;64,854;65,894;66,926;67,946;68,954;69,948;70,928;71,894;72,843;73,777;74,695;75,599;76,487;77,359;78,219;79,063;79,892
Mixco;Guatemala;446,877;456,760;466,749;476,736;486,827;496,992;507,220;517,505;527,828;538,189;548,578;558,989;569,417;579,864;590,323;600,803;611,294;621,806;632,345;642,894;653,463
San Pedro Sacatepéquez;Guatemala;50,756;51,587;52,421;53,245;54,071;54,897;55,723;56,545;57,362;58,175;58,983;59,786;60,582;61,373;62,157;62,937;63,711;64,480;65,244;66,003;66,758
San Juan Sacatepéquez;Guatemala;261,052;264,553;268,039;271,448;274,841;278,200;281,520;284,798;288,024;291,199;294,316;297,376;300,374;303,314;306,193;309,016;311,778;314,485;317,144;319,744;322,291
San Raymundo;Guatemala;37,606;37,821;38,028;38,218;38,401;38,575;38,739;38,891;39,033;39,162;39,281;39,387;39,481;39,564;39,634;39,695;39,746;39,786;39,816;39,836;39,847
Chuarrancho;Guatemala;16,123;16,168;16,261;16,384;16,533;16,697;16,872;17,057;17,245;17,436;17,628;17,820;18,011;18,200;18,388;18,573;18,755;18,934;19,112;19,287;19,460
Fraijanes;Guatemala;56,956;58,218;59,311;60,288;61,199;62,067;62,906;63,721;64,519;65,302;66,070;66,825;67,567;68,296;69,012;69,717;70,409;71,091;71,762;72,421;73,069
Amatitlán;Guatemala;138,168;140,226;142,284;144,305;146,324;148,330;150,322;152,296;154,248;156,177;158,082;159,961;161,811;163,636;165,432;167,203;168,947;170,665;172,361;174,030;175,674
Villa Nueva;Guatemala;425,783;433,872;442,061;450,250;458,545;466,922;475,373;483,897;492,480;501,127;509,832;518,596;527,416;536,301;545,248;554,273;563,369;572,550;581,829;591,194;600,660
Villa Canales;Guatemala;160,276;161,470;162,636;163,736;164,807;165,839;166,831;167,779;168,680;169,534;170,338;171,094;171,799;172,456;173,065;173,629;174,146;174,620;175,054;175,445;175,795
San Miguel Petapa;Guatemala;131,101;134,519;137,691;140,605;143,321;145,861;148,250;150,513;152,666;154,729;156,714;158,631;160,489;162,295;164,053;165,771;167,450;169,095;170,710;172,292;173,846
Guastatoya;El Progreso;25,803;26,070;26,317;26,554;26,774;26,989;27,201;27,407;27,608;27,803;27,992;28,173;28,350;28,518;28,680;28,836;28,986;29,128;29,265;29,394;29,519
Morazán;El Progreso;12,442;12,482;12,517;12,550;12,579;12,608;12,639;12,672;12,703;12,736;12,768;12,800;12,831;12,861;12,890;12,918;12,945;12,971;12,996;13,020;13,042
San Agustín Acasaguastlán;El Progreso;52,014;52,573;53,098;53,605;54,088;54,563;55,039;55,508;55,971;56,428;56,878;57,319;57,755;58,177;58,592;59,000;59,399;59,787;60,168;60,540;60,905
San Cristóbal Acasaguastlán;El Progreso;7,692;7,736;7,778;7,820;7,859;7,899;7,939;7,979;8,018;8,055;8,092;8,127;8,162;8,195;8,226;8,256;8,285;8,312;8,337;8,361;8,383
El Jícaro;El Progreso;13,476;13,486;13,492;13,497;13,499;13,502;13,509;13,518;13,527;13,539;13,551;13,564;13,576;13,589;13,601;13,614;13,626;13,637;13,649;13,660;13,671
Sansare;El Progreso;13,107;13,205;13,293;13,377;13,454;13,529;13,602;13,674;13,744;13,812;13,878;13,940;14,002;14,058;14,114;14,167;14,218;14,266;14,311;14,354;14,395
Sanarate;El Progreso;40,710;40,997;41,264;41,518;41,751;41,977;42,203;42,422;42,634;42,840;43,039;43,229;43,414;43,589;43,755;43,915;44,067;44,210;44,346;44,474;44,596
San Antonio La Paz;El Progreso;20,363;20,756;21,111;21,436;21,730;22,002;22,256;22,493;22,712;22,916;23,105;23,281;23,445;23,595;23,735;23,865;23,986;24,097;24,201;24,297;24,386
Antigua Guatemala;Sacatepéquez;55,089;55,595;56,221;56,898;57,602;58,338;59,091;59,850;60,608;61,360;62,104;62,839;63,559;64,267;64,962;65,641;66,307;66,960;67,597;68,220;68,827
Jocotenango;Sacatepéquez;21,351;21,748;22,127;22,484;22,824;23,160;23,492;23,820;24,144;24,463;24,779;25,088;25,393;25,692;25,986;26,274;26,557;26,835;27,106;27,373;27,634
Pastores;Sacatepéquez;17,737;18,143;18,499;18,817;19,109;19,389;19,661;19,928;20,190;20,445;20,696;20,943;21,184;21,422;21,653;21,880;22,102;22,319;22,532;22,739;22,943
Sumpango;Sacatepéquez;40,889;41,818;42,716;43,578;44,415;45,249;46,082;46,912;47,740;48,564;49,386;50,204;51,015;51,821;52,622;53,417;54,207;54,992;55,769;56,540;57,304
Santo Domingo Xenacoj;Sacatepéquez;12,429;12,778;13,122;13,457;13,787;14,121;14,455;14,793;15,134;15,476;15,820;16,166;16,514;16,863;17,214;17,566;17,919;18,273;18,629;18,986;19,344
Santiago Sacatepéquez;Sacatepéquez;33,338;34,005;34,644;35,250;35,832;36,409;36,982;37,549;38,111;38,667;39,218;39,763;40,299;40,830;41,352;41,867;42,376;42,877;43,369;43,856;44,333
